,ticker,fiscal_year,comprehensive_income_loss_attributable_to_noncontrolling_interest,other_comprehensive_income_loss,comprehensive_income_loss,comprehensive_income_loss_attributable_to_parent,other_comprehensive_income_loss_attributable_to_parent,other_comprehensive_income_loss_attributable_to_noncontrolling_interest
0000894081:2021:FY,ATSG,2021,0.0,247996000.0,247996000.0,247996000.0,0.0,0.0
0001702780:2017:FY,ATUS,2017,1587000.0,-12001000.0,1509617000.0,1508030000.0,0.0,0.0
0001702780:2018:FY,ATUS,2018,1761000.0,2242000.0,22836000.0,21075000.0,0.0,0.0
0001702780:2019:FY,ATUS,2019,1003000.0,8533000.0,148472000.0,147469000.0,0.0,0.0
0001702780:2020:FY,ATUS,2020,7296000.0,6896000.0,450375000.0,443079000.0,0.0,0.0
0001702780:2021:FY,ATUS,2021,20621000.0,2851000.0,1013783000.0,993162000.0,0.0,0.0
0000718877:2011:FY,ATVI,2011,0.0,-59000000.0,1026000000.0,1026000000.0,0.0,0.0
0000718877:2012:FY,ATVI,2012,1149000000.0,1195000000.0,1195000000.0,46000000.0,0.0,0.0
0000718877:2013:FY,ATVI,2013,0.0,94000000.0,1104000000.0,1104000000.0,0.0,0.0
0000718877:2014:FY,ATVI,2014,0.0,-371000000.0,464000000.0,464000000.0,0.0,0.0
0000718877:2015:FY,ATVI,2015,0.0,-330000000.0,562000000.0,562000000.0,0.0,0.0
0000718877:2016:FY,ATVI,2016,0.0,4000000.0,970000000.0,970000000.0,0.0,0.0
0000718877:2017:FY,ATVI,2017,0.0,-9000000.0,264000000.0,264000000.0,0.0,0.0
0000718877:2018:FY,ATVI,2018,0.0,34000000.0,1847000000.0,1847000000.0,0.0,0.0
0000718877:2019:FY,ATVI,2019,0.0,-18000000.0,1485000000.0,1485000000.0,0.0,0.0
0000718877:2020:FY,ATVI,2020,0.0,-3000000.0,2194000000.0,2194000000.0,0.0,0.0
0000718877:2021:FY,ATVI,2021,0.0,44000000.0,2743000000.0,2743000000.0,0.0,0.0
0000883948:2019:FY,AUB,2019,0.0,45848000.0,239376000.0,239376000.0,0.0,0.0
0000883948:2020:FY,AUB,2020,0.0,35440000.0,193668000.0,193668000.0,0.0,0.0
0000883948:2021:FY,AUB,2021,0.0,-52380000.0,211537000.0,211537000.0,0.0,0.0
0001067837:2021:FY,AUD,2021,0.0,-2072000.0,-2072000.0,-2072000.0,0.0,0.0
0001600620:2020:FY,AUPH,2020,0.0,0.0,-102680000.0,-102680000.0,0.0,0.0
0001600620:2021:FY,AUPH,2021,0.0,-47000.0,-181013000.0,-181013000.0,0.0,0.0
0001501796:2021:FY,AURA,2021,0.0,0.0,-35251000.0,-35251000.0,0.0,0.0
0000104918:2011:FY,AVA,2011,3315000.0,-1311000.0,102228000.0,98913000.0,0.0,0.0
0000104918:2012:FY,AVA,2012,590000.0,-1063000.0,77737000.0,77147000.0,0.0,0.0
0000104918:2013:FY,AVA,2013,1217000.0,881000.0,113175000.0,111958000.0,0.0,0.0
0000104918:2014:FY,AVA,2014,236000.0,-2069000.0,190208000.0,189972000.0,0.0,0.0
0000104918:2015:FY,AVA,2015,90000.0,1238000.0,124555000.0,124465000.0,0.0,0.0
0000104918:2016:FY,AVA,2016,88000.0,-918000.0,136398000.0,136310000.0,0.0,0.0
0000104918:2017:FY,AVA,2017,16000.0,-522000.0,115410000.0,115394000.0,0.0,0.0
0000104918:2018:FY,AVA,2018,169000.0,1966000.0,138564000.0,138395000.0,0.0,0.0
0000104918:2019:FY,AVA,2019,-216000.0,-2393000.0,194370000.0,194586000.0,0.0,0.0
0000104918:2020:FY,AVA,2020,0.0,-4119000.0,125369000.0,125369000.0,0.0,0.0
0000104918:2021:FY,AVA,2021,0.0,3339000.0,150673000.0,150673000.0,0.0,0.0
0001368622:2012:FY,AVAV,2012,0.0,30541000.0,30541000.0,30541000.0,0.0,0.0
0001368622:2013:FY,AVAV,2013,0.0,0.0,10426000.0,10426000.0,10415000.0,0.0
0001368622:2014:FY,AVAV,2014,0.0,0.0,13718000.0,13718000.0,14160000.0,0.0
0001368622:2015:FY,AVAV,2015,0.0,0.0,2895000.0,2895000.0,1800000.0,0.0
